"";"Chrzest ognia";"COVID-19";"Czas pogardy";"Dragon Ball GT";"Dragon Ball Super";"Dragon Ball Z";"Dragon Ball";"Gra o Tron";"Grypa hiszpanka";"Honda Cicic VII";"Honda Civic IX";"Honda Civic VI";"Honda Civic VIII";"Krew elfów";"Nawa³nica mieczy. Krew i z³oto";"Nawa³nica mieczy. Stal i œnieg";"Ptasia grypa";"Starcie Królów";"Œwiñska grypa";"Wie¿a jaskó³ki"
"druid";0,0116558880522364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0329992857108016
"dru¿yna";0;0;0;0;0,00508293610345153;0;0,00201990080750274;0;0;0;0;0;0;0;0;0,0012682880417823;0;0;0;0
"drwiæ";0;0;0;0,000567366028161804;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"drzemaæ";0;0;0;0;0;0,00203549515618098;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"drzewo";0;0;0;0,000593327273839866;0,000496275884047488;0;0,00128189342742893;0,000683934477293427;0;0;0;0;0;0;0;0,000804896012125211;0;0,00114651194334403;0;0
"drzwi";0;0;0;0,000451555284333856;0,000188846870698195;0;0;0,000173504146854884;0;0;0;0,0032640199873762;0,00228707282852485;0,00114452648907997;0,000935878297265389;0;0;0,000698047838884416;0;0
"duch";0;0;0;0,000889990910759798;0,000248137942023744;0,00425726861315247;0;0,00136786895458685;0;0;0;0;0;0;0,000614855077580958;0;0;0,000917209554675224;0;0
"duchowy";0;0;0;0;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"duma";0;0;0;0;0,00284736693847488;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dumny";0;0;0;0;0,00156398033952355;0;0,00201990080750274;0,000359228979415436;0;0;0;0;0;0;0;0;0;0;0;0
"dusiæ";0;0;0;0,000467457829917371;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,000968837378465914;0;0;0;0;0
"du¿y";0;0;0;0,000503477775689979;0,000315842397499803;0,000677358082873351;0;0,000290182016340546;0;0,00539901534187697;0;0,00181966813374372;0,00637513489763154;0,000638065449494551;0,000521745553392004;0,000683007964936243;0,00803962466363134;0,000194578374697348;0;0
"dwa";0;0;0;0;0,000432735192237074;0;0;0,000397577942729954;0;0;0,00355533608645483;0;0;0,00131131876435477;0;0,00070184113662176;0,00550753881029003;0,000199943653178846;0;0
"dwaj";0;0;0;0;0,000496275884047488;0,00212863430657623;0,00128189342742893;0,000227978159097809;0;0;0;0;0;0,00300773263059083;0;0;0;0,000229302388668806;0;0
"dwie";0;0;0;0;0;0;0;0,000262501640635254;0;0;0;0,00493827160493827;0;0;0,000707964601769912;0;0;0,000792079207920792;0,00740740740740741;0
"dwoma";0;0;0;0;0,000390995084880887;0,000838531125663666;0;0;0;0;0;0;0,00473523459198306;0;0;0;0;0;0;0
"dworski";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"dworu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00307871000452953;0;0,000877076724722736;0;0
"dworze";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0;0,0012682880417823;0;0,00108394676996681;0;0
"dwóch";0;0,00413223140495868;0;0,000683176771989752;0,000142857142857143;0,00122549019607843;0,000738007380073801;0,00105000656254102;0;0;0;0,00246913580246914;0;0;0,000353982300884956;0,00092678405931418;0;0,000792079207920792;0;0
"dwójka";0;0;0;0;0,000663408027110675;0,000711375029070883;0;0,000609509934345022;0;0;0;0;0;0;0,00082192144951765;0;0;0;0;0
"dwukrotny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0,00153935500226476;0;0;0;0
"dwunastoletni";0;0;0;0;0;0;0;0;0;0;0;0,00820229159231447;0;0,0028761282206817;0;0;0;0;0;0
"dwustu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0,000438538362361368;0;0
"dym";0;0;0;0,000793143670328732;0;0,00142275005814177;0;0,000304754967172511;0;0;0;0;0;0;0;0;0;0,000919575483123708;0;0
"dyskusja";0;0;0;0;0,000390995084880887;0;0;0,000359228979415436;0;0;0;0;0;0,00710900154328885;0;0;0;0;0;0
"dyskutowaæ";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0,00473933436219256;0;0;0;0,000361315589988938;0;0
"dysponowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0,010136909608023;0
"dyspozycja";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,0013156150870841;0;0
"dziadek";0;0;0;0,00713829303295859;0;0,000711375029070883;0,00171360007002757;0;0;0;0;0;0;0;0,00082192144951765;0;0;0;0;0
"dzia³a";0;0;0;0,0011897155054931;0;0;0,00171360007002757;0;0;0;0;0;0;0,00201032735488083;0;0,00107596297260767;0;0;0;0
"dzia³aæ";0;0;0,00833333333333333;0,000683176771989752;0;0;0;0;0;0;0;0;0;0;0,000707964601769912;0;0;0,000264026402640264;0,00740740740740741;0
"dzia³anie";0;0;0;0,000396571835164366;0;0;0;0,00152377483586256;0;0;0;0;0;0;0,00082192144951765;0;0;0,00122610064416494;0;0
"dzia³o";0;0;0;0;0,00047456115641248;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0;0;0
"dzieci";0;0,00356403502582672;0;0,000147309389624264;0,000616068911607189;0,00158547146369497;0;0,00090562696023107;0,00362393477415994;0;0;0;0;0,000746750195887502;0,000915925461504494;0,000399673992701606;0;0,00079702644669973;0,00319443139351876;0
"dzieciñstwo";0;0;0;0,000517360605578056;0,000432735192237074;0,000928047287273136;0;0,000198788971364977;0;0;0;0;0;0,00131131876435477;0,000536132096576906;0;0;0,000199943653178846;0;0
"dziecko";0;0;0;0,00118665454767973;0,00124068971011872;0;0;0,00273573790917371;0;0;0;0;0;0;0,00184456523274287;0,000804896012125211;0;0,000458604777337612;0;0
"dzieæmi";0;0;0;0,000683176771989752;0,000285714285714286;0,00122549019607843;0;0,00105000656254102;0;0;0;0;0;0;0;0;0;0,000264026402640264;0;0
"dziedziniec";0;0;0;0;0;0;0;0,000718457958830872;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"dzieje";0;0;0;0,000296663636919933;0,000496275884047488;0,00106431715328812;0,00256378685485787;0,000911912636391236;0;0;0;0;0;0;0;0;0;0,000229302388668806;0;0
"dzieli";0;0;0;0;0;0;0,00201990080750274;0,000359228979415436;0;0;0;0;0;0;0;0,0012682880417823;0;0;0;0
"dzieliæ";0;0;0;0;0,000390995084880887;0;0;0;0;0;0;0;0;0;0,000968837378465914;0,0038048641253469;0;0;0;0
"dzielnica";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"dzielny";0;0;0;0;0,000390995084880887;0;0;0,000359228979415436;0;0;0;0;0;0;0;0,0038048641253469;0;0;0;0
"dzienny";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0;0,0028761282206817;0;0;0;0;0;0
"dzieñ";0;0,0142561401033069;0,0035937353177086;0;0,000246427564642876;0,00105698097579665;0,000636528764760196;0,00294328762075098;0,00362393477415994;0;0;0;0;0;0,00213715941017715;0,000799347985403211;0,00627270164545502;0,00102474828861394;0;0
"dziesi¹tek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0,000438538362361368;0;0
"dziesi¹tki";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0;0,0012682880417823;0;0,000361315589988938;0;0
"dziesiêcioletni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000438538362361368;0;0
"dziesiêciu";0;0;0;0;0,000390995084880887;0;0;0;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"dziewczê";0;0;0;0;0,000331704013555337;0;0;0,000304754967172511;0;0;0;0;0;0,00201032735488083;0;0,00107596297260767;0;0;0;0
"dziewczyna";0,00302630342543882;0;0;0,000441928168872792;0,00172499295250013;0,000264245243949162;0,00381917258856117;0,00181125392046214;0;0;0;0;0;0,000746750195887502;0,00396901033318614;0,00239804395620963;0;0,00364354947062734;0;0,00571189719370904
"dziewczynka";0;0;0,00550803372869734;0,00587021869634012;0,000566540612094584;0;0;0,00503162025879164;0;0;0;0;0;0,0103007384017197;0,00421145233769425;0,00122514188590117;0;0,00314121527497987;0;0
"dziewiêædziesi¹ty";0;0;0;0;0;0;0,00245160745010137;0;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"dziêki";0;0;0,00307068997569253;0,000377608331767484;0,000842246393332807;0,000677358082873351;0,000543886047355134;9,6727338780182e-05;0,00309649409313532;0;0;0;0;0,000638065449494551;0,000521745553392004;0,000341503982468122;0;0,000389156749394696;0;0,00244028342439141
"dziêkowaæ";0;0;0;0,00340419616897082;0,00284736693847488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dziki";0;0;0;0;0;0;0;0,00182382527278247;0,0145963495308085;0;0;0;0;0;0,00553369569822862;0,00563427208487648;0,0126324770484815;0,00596186210538896;0;0
"dziœ";0;0;0;0;0;0;0;0;0;0;0;0;0,0057472804409816;0;0;0;0;0,000438538362361368;0;0
"dziura";0;0;0;0,000567366028161804;0;0;0,00735482235030412;0;0;0;0;0;0;0;0;0;0;0;0;0
"dziwiæ";0;0;0;0,000467457829917371;0;0;0;0;0;0;0;0;0;0,00236966718109628;0;0;0;0,000361315589988938;0;0
"dziwka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000968837378465914;0,0012682880417823;0;0,00180657794994469;0;0
"dziwny";0;0;0;0;0,000248137942023744;0,000532158576644058;0;0,000683934477293427;0;0;0;0;0;0,00300773263059083;0,000614855077580958;0;0;0,000687907166006418;0;0
"dzwoneczek";0;0;0;0;0;0;0,00245160745010137;0;0;0;0;0;0;0;0,00235180750080521;0;0;0;0;0
"dzwoniæ";0;0;0;0,000567366028161804;0,00189824462564992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dŸwiêk";0;0;0;0,000467457829917371;0;0;0;0,000359228979415436;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"dŸwignia";0;0;0;0;0;0;0;0;0;0,0121682347798072;0;0;0,0057472804409816;0;0;0;0;0;0;0
"eddarda";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"edmure";0;0;0;0;0;0;0;0,000914264901517533;0;0;0;0;0;0;0,00082192144951765;0,00537981486303837;0;0,00122610064416494;0;0
"edmure’a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00587951875201303;0;0;0,0013156150870841;0;0
"edrica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00193767475693183;0,0038048641253469;0;0,000722631179977876;0;0
"efekt";0;0;0,0138413670620307;0;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"egzekucja";0;0;0;0;0;0;0;0,00174402314996055;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"egzemplarz";0;0;0;0;0;0;0;0;0;0,00732600732600733;0,0140845070422535;0,0197530864197531;0,0173010380622837;0;0,000707964601769912;0;0;0;0;0
"eilhart";0,00960338804970599;0;0,0228080466180517;0;0;0;0;0;0;0;0;0;0;0,00473933436219256;0;0;0;0;0;0
"ekipa";0;0;0;0;0,000949122312824961;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"ekonomiczny";0;0;0;0,000467457829917371;0;0;0;0;0;0;0;0,00675793973868199;0;0,00236966718109628;0;0;0;0;0;0
"ekscytowaæ";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0;0,0057472804409816;0;0;0;0;0;0;0
"eksplodowaæ";0;0;0,0114040233090259;0;0;0,000838531125663666;0;0;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"eksplozja";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"elektryczny";0;0;0;0,00280474697950423;0,000390995084880887;0;0;0;0;0;0;0,00675793973868199;0;0;0;0;0;0;0;0
"elf";0;0;0,0228080466180517;0;0;0;0;0;0;0;0;0;0;0,0142180030865777;0;0;0;0;0;0,0271883999420484
"elfi";0,028810164149118;0;0,0114040233090259;0;0;0;0;0;0;0;0;0;0;0,00473933436219256;0;0;0;0;0;0
"eliminacja";0;0;0;0;0,00047456115641248;0;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"elli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0,00153935500226476;0;0;0;0
"emhyr";0,0081471161224118;0;0,00967470039536401;0;0;0;0;0;0;0;0;0;0;0,00402065470976167;0;0;0;0;0;0,00768850362545484
"emhyra";0;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0,0028761282206817;0;0;0;0;0;0
"emma";0;0;0;0,000567366028161804;0;0,00203549515618098;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"emreis";0,0116558880522364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109997619036005
"energetyczny";0;0;0;0,00170209808448541;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"energia";0;0;0;0,0150697297362459;0,00563896823044074;0,0142275005814177;0;0;0;0;0;0;0;0;0;0;0;0,000306525161041236;0;0
"entuzjazm";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000438538362361368;0;0
"epidemia";0;0,0137269755987081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0362392155805894;0;0;0
"eskorta";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,000968837378465914;0;0;0,00108394676996681;0;0
"eskortowaæ";0,00960338804970599;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0;0;0;0,000722631179977876;0;0
"esp";0;0;0;0;0;0;0;0;0;0,0121682347798072;0;0;0,0057472804409816;0;0;0;0;0;0;0
"eunuch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000968837378465914;0,0025365760835646;0;0,000361315589988938;0;0
"europ";0;0;0;0;0;0;0;0;0,0279153621419106;0;0;0;0;0;0;0;0,0241594770537263;0;0;0
"ewentualnoœæ";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"ewentualny";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,00193767475693183;0;0;0,000722631179977876;0;0
"executive";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0,0057472804409816;0;0;0;0;0;0;0
"fakt";0;0;0;0;0;0;0;0,000227978159097809;0;0;0;0,00428880393621286;0,00300513078575468;0;0,00184456523274287;0,000804896012125211;0;0,000458604777337612;0;0
"faktyczny";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"fala";0;0;0;0,00317257468131493;0,000995112040666012;0,000711375029070883;0;0;0,0390240015947456;0;0;0;0;0;0;0;0;0;0;0
"fa³szywy";0;0;0,0114040233090259;0;0;0;0;0,000359228979415436;0,0114998554376731;0;0;0;0;0;0;0;0;0;0;0
"fan";0;0;0;0,000567366028161804;0;0;0;0;0;0;0;0;0,0114945608819632;0;0;0;0;0;0;0
"fanatyczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0028761282206817;0;0;0;0,000438538362361368;0;0
"fasolka";0;0;0;0;0,00117298525464266;0,002515593376991;0,00201990080750274;0;0;0;0;0;0;0;0;0;0;0;0;0
"fatalny";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0;0,0012682880417823;0;0,000361315589988938;0;0
"faza";0;0;0;0;0;0,000838531125663666;0;0;0,0114998554376731;0,0100255149969458;0;0;0;0;0;0;0;0;0;0
"filippa";0,00960338804970599;0;0,0228080466180517;0;0;0;0;0;0;0;0;0;0;0,00473933436219256;0;0;0;0;0;0
"film";0;0;0;0,00113473205632361;0,000949122312824961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"finale";0;0;0;0;0;0,00101774757809049;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"fina³";0;0;0;0,00170209808448541;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0;0;0
"fina³owy";0;0;0;0;0,000949122312824961;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0;0;0
"finansowy";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"findabair";0,0116558880522364;0;0,0276827341240614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"florenta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00307871000452953;0;0,000438538362361368;0;0
"foltesta";0;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109997619036005
"forma";0;0;0;0,00233728914958685;0,00508293610345153;0;0;0,000359228979415436;0;0;0;0;0;0;0;0;0;0;0;0
"formacja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000438538362361368;0;0
"formia";0;0;0;0,00283683014080902;0,0047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fort";0,00960338804970599;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000968837378465914;0;0;0,000361315589988938;0;0
"fosa";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,000968837378465914;0;0;0,000361315589988938;0;0
"fot";0;0;0;0;0;0;0;0;0;0,0243364695596144;0,015595906548767;0;0;0;0;0;0;0;0;0
"fotel";0;0;0;0;0;0;0;0;0;0,0100255149969458;0;0,00675793973868199;0,00473523459198306;0;0;0;0;0;0;0
"fragment";0;0;0;0,000467457829917371;0;0;0;0,000359228979415436;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"francesca";0,0116558880522364;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"freezer";0;0;0;0,000467457829917371;0,0125118427161884;0,00754678013097299;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"freezera";0;0;0;0,000467457829917371;0,00625592135809419;0,010062373507964;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"freezerem";0;0;0;0,000934915659834742;0,00156398033952355;0,000838531125663666;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"frey";0;0;0;0;0;0;0;0,000609509934345022;0;0;0;0;0;0;0,0049315286971059;0,00322788891782302;0;0,000613050322082472;0;0
"freya";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,000968837378465914;0;0;0,000361315589988938;0;0
"freyami";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00461806500679429;0;0,000438538362361368;0;0
"freyem";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,000968837378465914;0,0012682880417823;0;0;0;0
"freyowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00307871000452953;0;0,000438538362361368;0;0
"freyów";0;0;0;0;0;0;0;0,000609509934345022;0;0;0;0;0;0;0,0049315286971059;0,00107596297260767;0;0,000613050322082472;0;0
"frezer";0;0;0;0,000567366028161804;0,000949122312824961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"front";0;0;0;0;0;0;0;0;0,0139576810709553;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"funkcja";0;0;0;0,000341588385994876;0,000857142857142857;0;0;0,000525003281270508;0;0;0;0;0;0;0;0,00092678405931418;0;0,000528052805280528;0;0
"fuzja";0;0;0;0,00233728914958685;0,00234597050928532;0,00838531125663666;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gaj";0;0;0;0;0;0;0;0,00215537387649262;0;0;0;0;0;0;0,00193767475693183;0;0;0,00469710266985619;0;0
"galaktyka";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gang";0;0;0;0,000934915659834742;0,00312796067904709;0;0,00201990080750274;0;0;0;0;0;0;0;0;0;0;0;0;0
"gard³o";0;0,0143550875550926;0;0;0,000248137942023744;0;0;0,000455956318195618;0;0;0;0;0;0;0;0;0,00631623852424075;0,000229302388668806;0,00643320590431928;0
"gardziæ";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"gasiæ";0;0;0;0,000567366028161804;0;0;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"gatunek";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0,0241594770537263;0;0;0
"gdzieœ";0;0;0;0;0,000781990169761773;0;0,00403980161500547;0;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"gendry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,00175415344944547;0;0
"gendrym";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00307871000452953;0;0,000438538362361368;0;0
"generacja";0;0;0;0;0;0;0;0;0;0,017010462233607;0,0436042834720631;0,0458652463187627;0,0120515299042597;0;0;0;0;0;0;0
"genera³";0;0;0;0,00113473205632361;0;0;0,00735482235030412;0;0;0;0;0;0;0;0;0;0;0;0;0
"genera³a";0;0;0;0,00170209808448541;0;0;0,0098064298004055;0;0;0;0;0;0;0;0;0;0;0;0;0
"genkidamê";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"genkidamy";0;0;0;0,000567366028161804;0,00142368346923744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"geralt";0,0325884644896472;0;0,038698801581456;0;0;0;0;0;0;0;0;0;0;0,0381962197427358;0;0;0;0;0;0,0307540145018194
"geralta";0,019206776099412;0;0;0;0;0;0;0;0;0;0;0;0;0,0379146748975405;0;0;0;0;0;0,0271883999420484
"geraltem";0;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0,0028761282206817;0;0;0;0;0;0
"geraltowi";0,019206776099412;0;0;0;0;0;0;0;0;0;0;0;0;0,00473933436219256;0;0;0;0;0;0,0090627999806828
"gero";0;0;0;0,00283683014080902;0;0,00203549515618098;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"giermek";0;0;0;0;0;0;0;0,00243803973738009;0;0;0;0;0;0;0,0016438428990353;0,0043038518904307;0;0,000919575483123708;0;0
"gin";0;0;0;0,000517360605578056;0,000432735192237074;0;0,00111776617921015;0,000397577942729954;0;0;0;0;0;0;0;0,00140368227324352;0,00550753881029003;0,000599830959536538;0;0
"gin¹æ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0,00153935500226476;0;0;0;0
"ginyu";0;0;0;0;0,000949122312824961;0,0122129709370859;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"g³adki";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0,00820229159231447;0;0;0;0;0;0;0;0
"g³¹b";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"g³êbi";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000877076724722736;0;0
"g³odny";0;0;0;0,000934915659834742;0,00117298525464266;0;0;0;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"g³os";0;0;0;0;0,000496275884047488;0,00212863430657623;0;0,000455956318195618;0;0;0;0;0;0,00451159894588625;0,00122971015516192;0;0;0,000229302388668806;0;0
"g³osiæ";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,00175415344944547;0;0
"g³oœno";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"g³owa";0,00302630342543882;0,00356403502582672;0;0,000736546948121319;0,000246427564642876;0,000528490487898324;0,00190958629428059;0,00124523707031772;0;0;0;0;0;0;0,000305308487168165;0,000399673992701606;0;0,000683165525742626;0,00319443139351876;0
"g³ód";0;0;0;0,000467457829917371;0;0;0;0;0;0;0;0;0;0;0;0,0012682880417823;0;0,000722631179977876;0;0
"g³ówny";0;0;0,00307068997569253;0,000125869443922495;0,000210561598333202;0;0,00108777209471027;0;0,00309649409313532;0;0;0,00181966813374372;0,00127502697952631;0;0,000521745553392004;0,000341503982468122;0,00535974977575423;0,000194578374697348;0,00272950220061558;0
"g³uchy";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0;0,0012682880417823;0;0,000722631179977876;0;0
"gniazdo";0;0;0;0;0;0;0;0,00213328477020758;0;0;0;0;0;0;0,00246576434855295;0,00107596297260767;0;0,000306525161041236;0;0
"gniæ";0;0;0;0,000567366028161804;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"gniew";0;0;0;0;0,000949122312824961;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"godny";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0,00675793973868199;0;0;0;0,0012682880417823;0;0;0;0
"godziæ";0;0;0;0,00129340151394514;0,00324551394177805;0,000928047287273136;0,00111776617921015;0;0;0;0;0;0,00262036881112415;0;0;0,00140368227324352;0;0;0;0,00501514295638993
"godzina";0;0,00546251278879075;0;0;0,000377693741396389;0,00081000496010255;0,000975592689953773;0,000173504146854884;0;0;0;0;0;0;0,00140381744589808;0,000612570942950585;0;0,000698047838884416;0;0
"gohan";0;0;0;0,00912115220878042;0,0182437207455436;0,0220526259011974;0,00342720014005515;0;0;0;0;0;0;0;0;0;0;0;0;0
"gohana";0;0;0;0,00467457829917371;0,00899288695226039;0,012577966884955;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gohanem";0;0;0;0,00140237348975211;0,00273696559416621;0,00167706225132733;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gohanie";0;0;0;0;0,00047456115641248;0,00203549515618098;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gohanowi";0;0;0;0;0,00189824462564992;0,00508873789045245;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"goku";0;0;0;0,126109843582268;0,0865747475379431;0,0576213773547415;0,11309760462182;0;0;0;0;0;0;0;0;0;0;0;0;0
"golden";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"goliæ";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"goniæ";0;0;0;0,0023794310109862;0,000995112040666012;0,00142275005814177;0,00171360007002757;0;0;0;0;0;0;0;0;0;0;0;0;0
"gor¹cy";0,0081471161224118;0;0;0;0,000331704013555337;0;0;0;0;0;0;0;0;0;0;0,00215192594521535;0;0,00153262580520618;0;0
"gor¹czka";0;0,0109250255775815;0;0;0;0;0;0,000520512440564652;0,00555431972641749;0;0;0;0;0;0,000935878297265389;0,00122514188590117;0,00480701125413586;0,000174511959721104;0,0048960299810643;0
"gor¹czkuj¹cy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0,00153935500226476;0;0;0;0
"gorszy";0;0;0;0;0,000390995084880887;0;0;0,000718457958830872;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"gorzej";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0;0;0;0,00153935500226476;0;0;0;0
"gospoda";0;0;0;0;0;0;0;0,000914264901517533;0;0;0;0;0;0;0,00082192144951765;0,00753174080825372;0;0,00153262580520618;0;0
